t,marketcap_thermocap_ratio,net_unrealized_profit_loss,price_usd_close,mvrv_z_score,puell_multiple,reserve_risk,sopr_adjusted,rhodl_ratio,exchange_net_position_change
2009-01-03,,,,0.0,,,,,
2009-01-04,,,,,,,,,
2009-01-05,,,,,,,,,
2009-01-06,,,,,,,,,
2009-01-07,,,,,,,,,
2009-01-08,,,,,,,,,
2009-01-09,,,,1e-15,,,,,
2009-01-10,,,,-2e-15,,,,,
2009-01-11,,,,-9.000000000000001e-15,,,,,
2009-01-12,,,,-1.1e-14,,,,,
2009-01-13,,,,-1.2000000000000001e-14,,,,,
2009-01-14,,,,-1.2000000000000001e-14,,,,,
2009-01-15,,,,-1.3000000000000001e-14,,,,,
2009-01-16,,,,-1.3000000000000001e-14,,,,,
2009-01-17,,,,-1.3000000000000001e-14,,,,,
2009-01-18,,,,-1.3000000000000001e-14,,,,,
2009-01-19,,,,-1.3000000000000001e-14,,,,,
2009-01-20,,,,-1.3000000000000001e-14,,,,,
2009-01-21,,,,-1.3000000000000001e-14,,,,,
2009-01-22,,,,-1.3000000000000001e-14,,,,,
2009-01-23,,,,-1.3000000000000001e-14,,,,,
2009-01-24,,,,-7e-15,,,,,
2009-01-25,,,,5.700000000000001e-14,,,,,
2009-01-26,,,,8.400000000000001e-14,,,,,
2009-01-27,,,,1.09e-13,,,,,
2009-01-28,,,,1.36e-13,,,,,
2009-01-29,,,,1.6100000000000002e-13,,,,,
2009-01-30,,,,1.8400000000000002e-13,,,,,
2009-01-31,,,,2.0700000000000003e-13,,,,,
2009-02-01,,,,2.24e-13,,,,,
2009-02-02,,,,2.43e-13,,,,,
2009-02-03,,,,2.61e-13,,,,,
2009-02-04,,,,2.7500000000000004e-13,,,,,
2009-02-05,,,,2.8900000000000003e-13,,,,,
2009-02-06,,,,3.0100000000000003e-13,,,,,
2009-02-07,,,,2.72e-13,,,,,
2009-02-08,,,,2.37e-13,,,,,
2009-02-09,,,,2.05e-13,,,,,
2009-02-10,,,,1.7800000000000002e-13,,,,,
2009-02-11,,,,1.5000000000000002e-13,,,,,
2009-02-12,,,,1.2700000000000001e-13,,,,,
2009-02-13,,,,1.0400000000000001e-13,,,,,
2009-02-14,,,,8.000000000000001e-14,,,,,
2009-02-15,,,,5.8e-14,,,,,
2009-02-16,,,,4.0000000000000006e-14,,,,,
2009-02-17,,,,2.2e-14,,,,,
2009-02-18,,,,6.0000000000000005e-15,,,,,
2009-02-19,,,,-1.0000000000000002e-14,,,,,
2009-02-20,,,,-2.5e-14,,,,,
2009-02-21,,,,-3.9000000000000004e-14,,,,,
2009-02-22,,,,-5.3e-14,,,,,
2009-02-23,,,,-6.5e-14,,,,,
2009-02-24,,,,-7.6e-14,,,,,
2009-02-25,,,,-8.700000000000001e-14,,,,,
2009-02-26,,,,-9.800000000000001e-14,,,,,
2009-02-27,,,,-1.0800000000000001e-13,,,,,
2009-02-28,,,,-1.18e-13,,,,,
2009-03-01,,,,-1.2700000000000001e-13,,,,,
2009-03-02,,,,-1.36e-13,,,,,
2009-03-03,,,,-1.4500000000000001e-13,,,,,
2009-03-04,,,,-1.5600000000000002e-13,,,,,
2009-03-05,,,,-1.64e-13,,,,,
2009-03-06,,,,-1.7300000000000002e-13,,,,,
2009-03-07,,,,-1.81e-13,,,,,
2009-03-08,,,,-1.89e-13,,,,,
2009-03-09,,,,-1.9600000000000002e-13,,,,,
2009-03-10,,,,-2.0300000000000002e-13,,,,,
2009-03-11,,,,-2.1000000000000001e-13,,,,,
2009-03-12,,,,-2.17e-13,,,,,
2009-03-13,,,,-2.24e-13,,,,,
2009-03-14,,,,-2.3000000000000003e-13,,,,,
2009-03-15,,,,-2.37e-13,,,,,
2009-03-16,,,,-2.44e-13,,,,,
2009-03-17,,,,-2.49e-13,,,,,
2009-03-18,,,,-2.55e-13,,,,,
2009-03-19,,,,-2.61e-13,,,,,
2009-03-20,,,,-2.67e-13,,,,,
2009-03-21,,,,-2.69e-13,,,,,
2009-03-22,,,,-2.7400000000000004e-13,,,,,
2009-03-23,,,,-2.8e-13,,,,,
2009-03-24,,,,-2.85e-13,,,,,
2009-03-25,,,,-2.9000000000000003e-13,,,,,
2009-03-26,,,,-2.94e-13,,,,,
2009-03-27,,,,-2.9900000000000004e-13,,,,,
2009-03-28,,,,-3.03e-13,,,,,
2009-03-29,,,,-3.08e-13,,,,,
2009-03-30,,,,-3.1200000000000003e-13,,,,,
2009-03-31,,,,-3.16e-13,,,,,
2009-04-01,,,,-3.2000000000000005e-13,,,,,
2009-04-02,,,,-3.2400000000000003e-13,,,,,
2009-04-03,,,,-3.28e-13,,,,,
2009-04-04,,,,-3.3200000000000005e-13,,,,,
2009-04-05,,,,-3.3600000000000003e-13,,,,,
2009-04-06,,,,-3.39e-13,,,,,
2009-04-07,,,,-3.42e-13,,,,,
2009-04-08,,,,-3.4600000000000004e-13,,,,,
2009-04-09,,,,-3.4800000000000003e-13,,,,,
2009-04-10,,,,-3.52e-13,,,,,
2009-04-11,,,,-3.5500000000000005e-13,,,,,
2009-04-12,,,,-3.5800000000000004e-13,,,,,
2009-04-13,,,,-3.6100000000000003e-13,,,,,
2009-04-14,,,,-3.65e-13,,,,,
2009-04-15,,,,-3.6800000000000005e-13,,,,,
2009-04-16,,,,-3.7000000000000004e-13,,,,,
2009-04-17,,,,-3.74e-13,,,,,
2009-04-18,,,,-3.77e-13,,,,,
2009-04-19,,,,-3.7900000000000005e-13,,,,,
2009-04-20,,,,-3.8200000000000004e-13,,,,,
2009-04-21,,,,-3.8500000000000003e-13,,,,,
2009-04-22,,,,-3.87e-13,,,,,
2009-04-23,,,,-3.89e-13,,,,,
2009-04-24,,,,-3.9200000000000005e-13,,,,,
2009-04-25,,,,-3.9400000000000004e-13,,,,,
2009-04-26,,,,-3.9600000000000003e-13,,,,,
2009-04-27,,,,-3.98e-13,,,,,
2009-04-28,,,,-4.01e-13,,,,,
2009-04-29,,,,-4.0400000000000005e-13,,,,,
2009-04-30,,,,-4.0600000000000004e-13,,,,,
2009-05-01,,,,-4.0800000000000003e-13,,,,,
2009-05-02,,,,-4.11e-13,,,,,
2009-05-03,,,,-4.1700000000000004e-13,,,,,
2009-05-04,,,,-4.1900000000000003e-13,,,,,
2009-05-05,,,,-4.21e-13,,,,,
2009-05-06,,,,-4.24e-13,,,,,
2009-05-07,,,,-4.2600000000000005e-13,,,,,
2009-05-08,,,,-4.2700000000000005e-13,,,,,
2009-05-09,,,,-4.2800000000000004e-13,,,,,
2009-05-10,,,,-4.3000000000000004e-13,,,,,
2009-05-11,,,,-4.3200000000000003e-13,,,,,
2009-05-12,,,,-4.34e-13,,,,,
2009-05-13,,,,-4.36e-13,,,,,
2009-05-14,,,,-4.3800000000000005e-13,,,,,
2009-05-15,,,,-4.4000000000000004e-13,,,,,
2009-05-16,,,,-4.4100000000000004e-13,,,,,
2009-05-17,,,,-4.4300000000000003e-13,,,,,
2009-05-18,,,,-4.45e-13,,,,,
2009-05-19,,,,-4.46e-13,,,,,
2009-05-20,,,,-4.48e-13,,,,,
2009-05-21,,,,-4.48e-13,,,,,
2009-05-22,,,,-4.4900000000000006e-13,,,,,
2009-05-23,,,,-4.5000000000000005e-13,,,,,
2009-05-24,,,,-4.5100000000000005e-13,,,,,
2009-05-25,,,,-4.5300000000000004e-13,,,,,
2009-05-26,,,,-4.5400000000000003e-13,,,,,
2009-05-27,,,,-4.550000000000001e-13,,,,,
2009-05-28,,,,-4.570000000000001e-13,,,,,
2009-05-29,,,,-4.580000000000001e-13,,,,,
2009-05-30,,,,-4.590000000000001e-13,,,,,
2009-05-31,,,,-4.600000000000001e-13,,,,,
2009-06-01,,,,-4.620000000000001e-13,,,,,
2009-06-02,,,,-4.63e-13,,,,,
2009-06-03,,,,-4.63e-13,,,,,
2009-06-04,,,,-4.64e-13,,,,,
2009-06-05,,,,-4.64e-13,,,,,
2009-06-06,,,,-4.65e-13,,,,,
2009-06-07,,,,-4.65e-13,,,,,
2009-06-08,,,,-4.66e-13,,,,,
2009-06-09,,,,-4.67e-13,,,,,
2009-06-10,,,,-4.68e-13,,,,,
2009-06-11,,,,-4.69e-13,,,,,
2009-06-12,,,,-4.7e-13,,,,,
2009-06-13,,,,-4.71e-13,,,,,
2009-06-14,,,,-4.71e-13,,,,,
2009-06-15,,,,-4.72e-13,,,,,
2009-06-16,,,,-4.73e-13,,,,,
2009-06-17,,,,-4.73e-13,,,,,
2009-06-18,,,,-4.74e-13,,,,,
2009-06-19,,,,-4.75e-13,,,,,
2009-06-20,,,,-4.76e-13,,,,,
2009-06-21,,,,-4.77e-13,,,,,
2009-06-22,,,,-4.780000000000001e-13,,,,,
2009-06-23,,,,-4.780000000000001e-13,,,,,
2009-06-24,,,,-4.790000000000001e-13,,,,,
2009-06-25,,,,-4.800000000000001e-13,,,,,
2009-06-26,,,,-4.810000000000001e-13,,,,,
2009-06-27,,,,-4.810000000000001e-13,,,,,
2009-06-28,,,,-4.820000000000001e-13,,,,,
2009-06-29,,,,-4.830000000000001e-13,,,,,
2009-06-30,,,,-4.830000000000001e-13,,,,,
2009-07-01,,,,-4.840000000000001e-13,,,,,
2009-07-02,,,,-4.850000000000001e-13,,,,,
2009-07-03,,,,-4.850000000000001e-13,,,,,
2009-07-04,,,,-4.86e-13,,,,,
2009-07-05,,,,-4.87e-13,,,,,
2009-07-06,,,,-4.88e-13,,,,,
2009-07-07,,,,-4.88e-13,,,,,
2009-07-08,,,,-4.89e-13,,,,,
2009-07-09,,,,-4.9e-13,,,,,
2009-07-10,,,,-4.9e-13,,,,,
2009-07-11,,,,-4.91e-13,,,,,
2009-07-12,,,,-4.92e-13,,,,,
2009-07-13,,,,-4.93e-13,,,,,
2009-07-14,,,,-4.93e-13,,,,,
2009-07-15,,,,-4.93e-13,,,,,
2009-07-16,,,,-4.94e-13,,,,,
2009-07-17,,,,-4.94e-13,,,,,
2009-07-18,,,,-4.94e-13,,,,,
2009-07-19,,,,-4.95e-13,,,,,
2009-07-20,,,,-4.96e-13,,,,,
2009-07-21,,,,-4.96e-13,,,,,
2009-07-22,,,,-4.97e-13,,,,,
2009-07-23,,,,-4.97e-13,,,,,
2009-07-24,,,,-4.98e-13,,,,,
2009-07-25,,,,-4.98e-13,,,,,
2009-07-26,,,,-4.98e-13,,,,,
2009-07-27,,,,-4.98e-13,,,,,
2009-07-28,,,,-4.99e-13,,,,,
2009-07-29,,,,-4.99e-13,,,,,
2009-07-30,,,,-4.99e-13,,,,,
2009-07-31,,,,-4.99e-13,,,,,
2009-08-01,,,,-5e-13,,,,,
2009-08-02,,,,-5e-13,,,,,
2009-08-03,,,,-5e-13,,,,,
2009-08-04,,,,-5.010000000000001e-13,,,,,
2009-08-05,,,,-5.010000000000001e-13,,,,,
2009-08-06,,,,-5.020000000000001e-13,,,,,
2009-08-07,,,,-5.020000000000001e-13,,,,,
2009-08-08,,,,-5.030000000000001e-13,,,,,
2009-08-09,,,,-5.040000000000001e-13,,,,,
2009-08-10,,,,-5.040000000000001e-13,,,,,
2009-08-11,,,,-5.050000000000001e-13,,,,,
2009-08-12,,,,-5.050000000000001e-13,,,,,
2009-08-13,,,,-5.050000000000001e-13,,,,,
2009-08-14,,,,-5.060000000000001e-13,,,,,
2009-08-15,,,,-5.060000000000001e-13,,,,,
2009-08-16,,,,-5.060000000000001e-13,,,,,
2009-08-17,,,,-5.060000000000001e-13,,,,,
2009-08-18,,,,-5.070000000000001e-13,,,,,
2009-08-19,,,,-5.070000000000001e-13,,,,,
2009-08-20,,,,-5.070000000000001e-13,,,,,
2009-08-21,,,,-5.070000000000001e-13,,,,,
2009-08-22,,,,-5.070000000000001e-13,,,,,
2009-08-23,,,,-5.070000000000001e-13,,,,,
2009-08-24,,,,-5.070000000000001e-13,,,,,
2009-08-25,,,,-5.070000000000001e-13,,,,,
2009-08-26,,,,-5.080000000000001e-13,,,,,
2009-08-27,,,,-5.080000000000001e-13,,,,,
2009-08-28,,,,-5.090000000000001e-13,,,,,
2009-08-29,,,,-5.090000000000001e-13,,,,,
2009-08-30,,,,-5.1e-13,,,,,
2009-08-31,,,,-5.1e-13,,,,,
2009-09-01,,,,-5.1e-13,,,,,
2009-09-02,,,,-5.11e-13,,,,,
2009-09-03,,,,-5.11e-13,,,,,
2009-09-04,,,,-5.12e-13,,,,,
2009-09-05,,,,-5.12e-13,,,,,
2009-09-06,,,,-5.13e-13,,,,,
2009-09-07,,,,-5.13e-13,,,,,
2009-09-08,,,,-5.14e-13,,,,,
2009-09-09,,,,-5.14e-13,,,,,
2009-09-10,,,,-5.14e-13,,,,,
2009-09-11,,,,-5.15e-13,,,,,
2009-09-12,,,,-5.15e-13,,,,,
2009-09-13,,,,-5.15e-13,,,,,
2009-09-14,,,,-5.16e-13,,,,,
2009-09-15,,,,-5.16e-13,,,,,
2009-09-16,,,,-5.17e-13,,,,,
2009-09-17,,,,-5.17e-13,,,,,
2009-09-18,,,,-5.18e-13,,,,,
2009-09-19,,,,-5.18e-13,,,,,
2009-09-20,,,,-5.19e-13,,,,,
2009-09-21,,,,-5.19e-13,,,,,
2009-09-22,,,,-5.19e-13,,,,,
2009-09-23,,,,-5.19e-13,,,,,
2009-09-24,,,,-5.2e-13,,,,,
2009-09-25,,,,-5.2e-13,,,,,
2009-09-26,,,,-5.21e-13,,,,,
2009-09-27,,,,-5.21e-13,,,,,
2009-09-28,,,,-5.22e-13,,,,,
2009-09-29,,,,-5.22e-13,,,,,
2009-09-30,,,,-5.23e-13,,,,,
2009-10-01,,,,-5.23e-13,,,,,
2009-10-02,,,,-5.23e-13,,,,,
2009-10-03,,,,-5.240000000000001e-13,,,,,
2009-10-04,,,,-5.240000000000001e-13,,,,,
2009-10-05,,,,-5.240000000000001e-13,,,,,
2009-10-06,,,,-5.250000000000001e-13,,,,,
2009-10-07,,,,-5.250000000000001e-13,,,,,
2009-10-08,,,,-5.250000000000001e-13,,,,,
2009-10-09,,,,-5.260000000000001e-13,,,,,
2009-10-10,,,,-5.260000000000001e-13,,,,,
2009-10-11,,,,-5.270000000000001e-13,,,,,
2009-10-12,,,,-5.270000000000001e-13,,,,,
2009-10-13,,,,-5.270000000000001e-13,,,,,
2009-10-14,,,,-5.270000000000001e-13,,,,,
2009-10-15,,,,-5.280000000000001e-13,,,,,
2009-10-16,,,,-5.280000000000001e-13,,,,,
2009-10-17,,,,-5.280000000000001e-13,,,,,
2009-10-18,,,,-5.290000000000001e-13,,,,,
2009-10-19,,,,-5.290000000000001e-13,,,,,
2009-10-20,,,,-5.290000000000001e-13,,,,,
2009-10-21,,,,-5.300000000000001e-13,,,,,
2009-10-22,,,,-5.300000000000001e-13,,,,,
2009-10-23,,,,-5.310000000000001e-13,,,,,
2009-10-24,,,,-5.310000000000001e-13,,,,,
2009-10-25,,,,-5.320000000000001e-13,,,,,
2009-10-26,,,,-5.320000000000001e-13,,,,,
2009-10-27,,,,-5.320000000000001e-13,,,,,
2009-10-28,,,,-5.330000000000001e-13,,,,,
2009-10-29,,,,-5.330000000000001e-13,,,,,
2009-10-30,,,,-5.330000000000001e-13,,,,,
2009-10-31,,,,-5.330000000000001e-13,,,,,
2009-11-01,,,,-5.330000000000001e-13,,,,,
2009-11-02,,,,-5.330000000000001e-13,,,,,
2009-11-03,,,,-5.34e-13,,,,,
