Time,Time,ampm,Funding Interval,Funding Rate,Price
9/10/2019,11:00:00,AM,8h,0.01%,10115.97559
9/10/2019,3:00:00,AM,8h,0.01%,10115.97559
9/10/2019,7:00:00,PM,8h,0.01%,10115.97559
9/11/2019,11:00:00,AM,8h,0.01%,10178.37207
9/11/2019,3:00:00,AM,8h,0.01%,10178.37207
9/11/2019,7:00:00,PM,8h,0.01%,10178.37207
9/12/2019,11:00:00,AM,8h,0.01%,10410.12695
9/12/2019,3:00:00,AM,8h,0.01%,10410.12695
9/12/2019,7:00:00,PM,8h,0.01%,10410.12695
9/13/2019,11:00:00,AM,8h,0.01%,10360.54688
9/13/2019,3:00:00,AM,8h,0.01%,10360.54688
9/13/2019,7:00:00,PM,8h,0.01%,10360.54688
9/14/2019,11:00:00,AM,8h,0.01%,10358.04883
9/14/2019,3:00:00,AM,8h,0.01%,10358.04883
9/14/2019,7:00:00,PM,8h,0.01%,10358.04883
9/15/2019,11:00:00,AM,8h,0.01%,10347.71289
9/15/2019,3:00:00,AM,8h,0.01%,10347.71289
9/15/2019,7:00:00,PM,8h,0.01%,10347.71289
9/16/2019,11:00:00,AM,8h,0.01%,10276.79395
9/16/2019,3:00:00,AM,8h,0.01%,10276.79395
9/16/2019,7:00:00,PM,8h,0.01%,10276.79395
9/17/2019,11:00:00,AM,8h,0.01%,10241.27246
9/17/2019,3:00:00,AM,8h,0.01%,10241.27246
9/17/2019,7:00:00,PM,8h,0.01%,10241.27246
9/18/2019,11:00:00,AM,8h,0.01%,10198.24805
9/18/2019,3:00:00,AM,8h,0.01%,10198.24805
9/18/2019,7:00:00,PM,8h,0.01%,10198.24805
9/19/2019,11:00:00,AM,8h,0.01%,10266.41504
9/19/2019,3:00:00,AM,8h,0.01%,10266.41504
9/19/2019,7:00:00,PM,8h,0.01%,10266.41504
9/20/2019,11:00:00,AM,8h,0.01%,10181.6416
9/20/2019,3:00:00,AM,8h,0.01%,10181.6416
9/20/2019,7:00:00,PM,8h,0.01%,10181.6416
9/21/2019,11:00:00,AM,8h,0.01%,10019.7168
9/21/2019,3:00:00,AM,8h,0.01%,10019.7168
9/21/2019,7:00:00,PM,8h,0.01%,10019.7168
9/22/2019,11:00:00,AM,8h,0.01%,10070.39258
9/22/2019,3:00:00,AM,8h,0.01%,10070.39258
9/22/2019,7:00:00,PM,8h,0.01%,10070.39258
9/23/2019,11:00:00,AM,8h,0.01%,9729.324219
9/23/2019,3:00:00,AM,8h,0.01%,9729.324219
9/23/2019,7:00:00,PM,8h,0.01%,9729.324219
9/24/2019,11:00:00,AM,8h,0.01%,8620.566406
9/24/2019,3:00:00,AM,8h,0.01%,8620.566406
9/24/2019,7:00:00,PM,8h,0.01%,8620.566406
9/25/2019,11:00:00,AM,8h,0.01%,8486.993164
9/25/2019,3:00:00,AM,8h,0.01%,8486.993164
9/25/2019,7:00:00,PM,8h,0.01%,8486.993164
9/26/2019,11:00:00,AM,8h,0.01%,8118.967773
9/26/2019,3:00:00,AM,8h,0.01%,8118.967773
9/26/2019,7:00:00,PM,8h,0.01%,8118.967773
9/27/2019,11:00:00,AM,8h,0.01%,8251.845703
9/27/2019,3:00:00,AM,8h,0.01%,8251.845703
9/27/2019,7:00:00,PM,8h,0.01%,8251.845703
9/28/2019,11:00:00,AM,8h,0.01%,8245.915039
9/28/2019,3:00:00,AM,8h,0.01%,8245.915039
9/28/2019,7:00:00,PM,8h,0.01%,8245.915039
9/29/2019,11:00:00,AM,8h,0.01%,8104.185547
9/29/2019,3:00:00,AM,8h,0.01%,8104.185547
9/29/2019,7:00:00,PM,8h,0.01%,8104.185547
9/30/2019,11:00:00,AM,8h,0.01%,8293.868164
9/30/2019,3:00:00,AM,8h,0.01%,8293.868164
9/30/2019,7:00:00,PM,8h,0.01%,8293.868164
10/1/2019,11:00:00,AM,8h,0.01%,8343.276367
10/1/2019,3:00:00,AM,8h,0.01%,8343.276367
10/1/2019,7:00:00,PM,8h,0.01%,8343.276367
10/2/2019,11:00:00,AM,8h,-0.05%,8393.041992
10/2/2019,3:00:00,AM,8h,0.01%,8393.041992
10/2/2019,7:00:00,PM,8h,-0.03%,8393.041992
10/3/2019,11:00:00,AM,8h,0.01%,8259.992188
10/3/2019,3:00:00,AM,8h,-0.01%,8259.992188
10/3/2019,7:00:00,PM,8h,0.01%,8259.992188
10/4/2019,11:00:00,AM,8h,-0.01%,8205.939453
10/4/2019,3:00:00,AM,8h,0.00%,8205.939453
10/4/2019,7:00:00,PM,8h,-0.03%,8205.939453
10/5/2019,11:00:00,AM,8h,0.00%,8151.500488
10/5/2019,3:00:00,AM,8h,-0.02%,8151.500488
10/5/2019,7:00:00,PM,8h,-0.01%,8151.500488
10/6/2019,11:00:00,AM,8h,0.00%,7988.155762
10/6/2019,3:00:00,AM,8h,0.00%,7988.155762
10/6/2019,7:00:00,PM,8h,-0.01%,7988.155762
10/7/2019,11:00:00,AM,8h,-0.02%,8245.623047
10/7/2019,3:00:00,AM,8h,-0.02%,8245.623047
10/7/2019,7:00:00,PM,8h,0.01%,8245.623047
10/8/2019,11:00:00,AM,8h,0.01%,8228.783203
10/8/2019,3:00:00,AM,8h,0.01%,8228.783203
10/8/2019,7:00:00,PM,8h,0.01%,8228.783203
10/9/2019,11:00:00,AM,8h,0.01%,8595.740234
10/9/2019,3:00:00,AM,8h,0.01%,8595.740234
10/9/2019,7:00:00,PM,8h,0.01%,8595.740234
10/10/2019,11:00:00,AM,8h,0.01%,8586.473633
10/10/2019,3:00:00,AM,8h,0.01%,8586.473633
10/10/2019,7:00:00,PM,8h,0.01%,8586.473633
10/11/2019,11:00:00,AM,8h,0.01%,8321.756836
10/11/2019,3:00:00,AM,8h,0.01%,8321.756836
10/11/2019,7:00:00,PM,8h,0.01%,8321.756836
